Country,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Cluster
ISL,1980321345.1110356,-211415137.58387065,4629675012.738353,-454683519.6203216,0
ISR,89479050166.93661,7156818571.056543,45511045264.941765,-24251212806.689323,4
ITA,43137840467.38084,-8250810406.131438,299147021054.5046,49962462573.6936,6
JAM,2524460256.111845,-573558582.9890246,1932217000.4608135,-77252856.074359,7
JOR,5530268024.342428,-435201506.0906216,7893292308.265102,449460295.6969978,0
JPN,-3211102124.2035675,-173347050395.8363,272379095698.0603,162169403732.4695,1
KAZ,21026975783.33865,-2884279978.201596,23294171258.74939,37136438341.732376,9
KEN,9442400631.924822,-1725316529.64368,19097986598.649315,1399311392.1724515,0
KGZ,1405127222.5160005,-11997399.23397845,891467751.4747233,602848432.4926156,7
KHM,3731148782.460864,92416313.00450236,3490909620.69567,4613146223.875821,9
KNA,37352451.39190295,-24582304.2445368,165631896.61625904,114379919.10474391,1
KOR,185479690079.2925,8044433273.351691,147810831819.5696,237628549805.87592,9
KWT,9070830373.96443,1355037567.9371305,15107210433.117178,33715780043.82605,2
LAO,1166823616.7591443,-154324296.19688794,3838369007.307864,1387035665.5946815,6
LBR,556101664.6256974,-4466582.896896784,320032154.5157352,65540791.7410934,4
LBY,4141001593.461114,5102053424.185878,2897974725.4816484,12096435416.509125,2
LCA,246956376.27824208,-8087625.848352465,326354007.71862286,-2168870.61035497,0
LKA,-6418987700.193072,-2521414128.928441,23016769560.81723,13830791913.11401,10
LSO,57660154.45956484,-37581536.25364589,415521445.543679,298455190.06554645,1
LTU,-5997260367.239557,207135464.83132517,7070777363.749836,4822473549.092219,10
LUX,13334873728.51555,-771916210.7198867,8228056609.522844,1058503824.7867396,4
LVA,-3902702843.120067,541950342.228753,5350001353.224674,1555243380.948163,10
MAC,16745881009.968927,2592010383.9353485,-414225585.6251108,-3473156665.0250773,4
MAR,10883706551.612064,-253797107.12197903,18124187998.878445,11877648609.973915,5
MDA,-834261613.3381878,-79708779.2164079,1530357107.9881916,1713616196.7555811,3
MDG,507713093.9415054,-29688058.02172806,2123311053.6446943,1138779184.2316236,6
MDV,529349587.8310005,6339588.843947513,1071236122.0650684,23099914.49334774,0
MEX,109262042645.73486,-61241350760.49009,154616867454.80856,118195721276.10455,9
MKD,-851653071.8577791,-173120551.21520212,2024275510.9971864,503954410.24412674,10
MLI,2023441774.2022152,-192844655.4081731,2139712347.3959012,1397189923.1348476,7
MLT,3299665042.355164,-306231076.2117763,1291342057.3700185,242092768.666858,4
MMR,5108567866.468326,-3271263660.1919527,6030320945.781607,14043043058.25532,2
MNG,1566370992.9756656,79306495.65821393,2317461411.0638394,1431677060.5188684,5
MRT,758279847.3336776,-43731872.67150933,477664243.9836701,1127744803.8450184,8
MUS,864463757.1807607,-51143399.02170885,3790838493.9322114,-308001931.09560424,0
MWI,1116049620.8165207,-441765577.6970534,981825924.6497391,995169887.4298124,9
MYS,14012586901.01392,1078518996.9868715,61486627179.59047,45484602799.30609,1
NER,1533792391.032126,-123388772.55664717,2117392794.768588,430823939.07467306,5
NGA,60583547496.619,84023487.99032858,108444269814.13498,-2225051122.469789,0
NIC,1212095487.2075057,-276654987.8262882,609532348.9701332,1111724246.4478076,8
NLD,14051608509.288347,-19432831576.08104,93011340422.41832,95414940724.5501,1
NOR,22022723176.96501,-4628604635.966769,46708058865.193726,69360547532.44289,2
NPL,2879231911.258165,782563316.5020256,9041793153.219032,-748554567.7641494,0
NZL,19724053252.93016,-671059137.7266892,23831408230.92504,21349545267.421658,9
OMN,8848389149.067398,2300868846.602965,5382385288.477906,10173430747.825264,8
PAK,31757396638.4812,-11412945872.105818,68715651624.98277,12395250392.147,5
PAN,4167280627.322469,-4236949614.4195232,16669997804.989618,16391116.779077468,5
PER,12647944741.469334,-803046630.4431926,43574201136.07083,18768094057.58316,6
PHL,34450504361.57898,7468164102.09617,69493381390.35202,12927499056.750248,0
PLW,-2867223.724715514,-13989719.225326443,25387126.267064627,1872522.2021445085,6
PNG,1019634842.5224402,-384580630.6621637,1876805000.7325385,5713860670.556413,2
POL,2426067382.975566,-17112966032.716202,90109030450.9688,72696692585.97652,1
PRT,12203416029.551216,-7238378958.631954,28885589715.268097,10515362473.506409,5
PRY,-785382021.622561,-942550928.0939338,6548290082.109255,7298949043.921673,3
PSE,1674269246.3599718,-86385640.69799155,1525566608.1091845,1868576451.7509892,9
QAT,22480715256.45981,-1898550998.634872,18581548403.382236,36425210590.596695,9
ROU,-24380672113.002605,50664960.09427361,40195735634.77422,18258927618.940765,10
RUS,18368389453.18438,-19726079776.792355,385360152335.58606,309352901497.5031,1
RWA,940217510.8167596,-75672974.39584611,1569658443.017502,727135076.7255243,5
SAU,85702195146.63603,-4026405304.6004505,134909333995.55098,59346469379.94051,5
SEN,1281348901.6582186,-397069856.1777099,3495382023.5737686,2085282049.7210443,1
SGP,28690426797.04848,-8214598410.479698,42627424945.42552,53906452335.6478,9
SLB,196133590.01563165,-32677755.51404009,159059336.00777444,126809748.69318023,7
SLV,1470862860.6304488,-370909099.5724995,2939639157.44686,3644373868.443726,9
STP,77620756.358917,-841775.7819449324,-8940367.82416858,50188912.68723338,8
SUR,24382178.505562205,-66320528.53806361,1032219297.6213988,521276826.0879373,6
SVK,-1562626095.3560157,-3086529609.447604,16122040131.519665,14729617168.548813,3
SVN,-241071581.66243345,-4547811131.901672,5879236375.09401,3719375381.2922354,1
SWE,25341634477.385017,-11250064461.594215,55965337760.17847,54297859374.8836,1
SWZ,126375274.33880356,71536022.70828499,538634694.7242857,885008385.946412,3
SYC,231911456.54255465,-45348093.9105005,191679851.2621398,70648021.38921326,7
SYR,241498469.3605137,-264437018.7701089,11510949451.027143,3207571448.9039164,6
TCD,1149121424.1698885,-42462003.68453602,1532118490.1425016,1885615776.5660791,9
TGO,1057854563.7417816,-52774080.57001912,819316024.591164,226821772.2281804,7
THA,10077542541.556995,-4204727086.003916,61453068338.69469,84044354535.60802,3
TON,32286454.008129727,-22348772.65804562,107546189.10456248,2277556.411650842,5
TTO,930408736.9142748,-527048363.4570464,5548111894.948222,2572759373.2436256,6
TUN,3190720195.718216,-658874497.6780475,5438037503.885217,4896782764.965131,9
TUR,46852437503.0769,-26301460497.434868,223088724122.87396,38008389551.62846,6
TZA,7754611929.141757,991322683.185196,-67940623.66309248,11626732626.279549,8
UGA,4216877809.644446,414990354.6451281,5542092094.474134,1917608835.910888,5
UKR,-7178179621.586864,-1484994759.8377075,24913498270.086376,22365574621.656048,3
URY,2762329703.75534,-608870391.7360097,3870593022.883796,13677587389.074512,2
USA,2669268531643.594,53193562640.76899,2190224497674.3904,1137043555917.452,7
VCT,-14222150.290190255,-38279120.60909671,237026007.72276676,-21279571.872144725,6
VNM,46948590589.44103,-1851683274.5170183,31293695538.90716,35379477961.18051,8
VUT,155878848.42946818,6659405.547468661,100114446.6811484,41593277.2304732,4
WSM,120305923.2760606,9652454.318862798,181819777.73981205,-7350839.774080885,0
YEM,3696716460.060133,3526222536.293109,9709729078.009554,-3244606540.8190365,0
ZAF,12323532838.719175,-12190605178.648611,58045170592.16564,46696243917.88308,1
ZMB,1379808196.4573505,-374988178.9612199,3727241720.690887,3701191729.8279138,1
